Project,Shape,Property Name,Property label,URI
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Accepted,,https://clm.celeris.se/rm/types/AD_cc0DzkqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Alternative Spelling',,rdm_types:AlternateSpelling,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Anteckning,,https://trafikverket.se/rgv/attribute/anteckning,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Approved By',,https://clm.celeris.se/rm/types/AD_cc0DzEqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Approver Position',,https://clm.celeris.se/rm/types/AD_cc0Dv0qNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Background,,https://dng.skb.se/attr/background,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Child Of',,rdm_types:Decomposition,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Clarity,,https://clm.celeris.se/rm/types/AD_cc0Dz0qNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,High,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWHEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWHEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Low,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWGkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWGkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Medium,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWG0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWGUqNEe-lXMAnwStbdQ#_cXvWG0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,cmint_applied_RCR_numbers,,https://clm.celeris.se/rm/types/AD_cc0D0EqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Constrained By',,https://dng.skb.se/link/constraint,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Contributor,,dcterms:contributor,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Created On',,dcterms:created,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Creator,,dcterms:creator,
